shift_key_usage,cpm,wpm,rhythm_variability,backspace_count,capital_letters,error_rate,sentence_count,paragraph_count,flight_time_mean,flight_time_std,flight_time_median,dwell_time_mean,dwell_time_std,dwell_time_median,inter_key_latency_mean,inter_key_latency_std,inter_key_latency_median,task_type_Custom Text,task_type_Fixed Text,task_type_Free Typing,user_id
30.0,-1.2758109769830988,-1.2758109769830983,0.5766446381214546,96.0,32.0,0.0,13.9,6.8,0.708187353836007,5.668662610181037,0.22448205947875977,0.529668448450916,17.560798314845584,0.07010054588317871,1.292021980755347,10.638591481968417,0.2662769556045532,1,0,0,1
44.0,-0.7594141322728336,-0.7594141322728334,2.039766466513189,106.0,22.0,-2.198339284213616,13.9,6.8,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,1.053381234079927,20.198331675954424,0.313204288482666,0,1,0,1
8.0,-0.596499234635241,-0.5964992346352407,-0.616966069578396,191.0,47.0,0.0,8.0,2.0,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.5875924542019222,2.8397820889646206,0.25978171825408936,0,0,1,1
0.0,-0.6455817470735175,-0.6455817470735168,0.6010895829393269,123.0,28.0,0.0,13.9,6.8,0.5940229390619159,4.787850239369699,0.20338892936706543,0.45119467206413266,17.184802503256613,0.08464860916137695,0.9033306978442558,10.798309775401338,0.2582465410232544,1,0,0,10
0.0,-0.9096909291770374,-0.9096909291770368,1.9720493240873058,149.0,22.0,0.024553168097653216,13.9,6.8,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.9855594384670258,19.755881651828837,0.2913311719894409,0,1,0,10
0.0,-0.5983881885432515,-0.5983881885432508,-0.78521913651366,82.0,27.0,0.0,17.0,5.0,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.5133097835862453,1.7404507991632243,0.27602386474609375,0,0,1,10
41.0,-0.4656388976374902,-0.4656388976374899,0.4983421743656121,94.0,12.0,0.0,13.9,6.8,0.4877663631982441,2.932860828548701,0.13389039039611816,0.7034575773801418,9.991436210683865,0.10215950012207031,1.0531229485582876,10.126979123018328,0.21931695938110352,1,0,0,11
33.0,-0.17876583659710002,-0.17876583659709952,-0.375324106216013,133.0,8.0,-1.0642293101414584,13.9,6.8,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.5039799780801504,4.418621488994801,0.23957347869873047,0,1,0,11
25.0,0.5141364257702029,0.5141364257702034,-1.0062459829662096,23.0,0.0,0.0,11.0,3.0,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.30239356523272637,0.29630637661368225,0.213631272315979,0,0,1,11
37.0,-0.3718162482621993,-0.3718162482621993,0.9377685105343044,127.0,10.0,0.0,13.9,6.8,0.408015095274093,3.222386626097043,0.09764933586120605,0.7226532152858383,18.355611010089916,0.08144068717956543,0.9472330497972893,12.998101354025833,0.16982901096343994,1,0,0,2
38.0,-0.11900107151044298,-0.11900107151044244,2.0694085269482287,181.0,19.0,0.7480524851922539,13.9,6.8,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,1.095826171962064,20.392006864906314,0.1802351474761963,0,1,0,2
28.0,-0.08938667579715706,-0.08938667579715666,-0.7426386422853031,64.0,5.0,0.0,11.0,12.0,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.4550587974745652,2.0186630807761996,0.17301273345947266,0,0,1,2
0.0,3.0791845800411766,3.079184580041176,-0.10821128140759653,63.0,7.0,0.0,13.9,6.8,1.066730130207998,45.850434099953496,0.07165920734405518,0.5104795484605442,10.46446168359897,0.11886191368103027,0.42953456949933144,6.1638823128709666,0.11521029472351074,1,0,0,3
0.0,2.0838794865413703,2.08387948654137,0.7594053415391366,153.0,19.0,-0.04349651653073423,13.9,6.8,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.6304956403514876,11.832712715374955,0.1323174238204956,0,1,0,3
0.0,2.3462034057696157,2.346203405769616,0.45948542791910685,326.0,48.0,0.0,22.0,2.0,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.6525681585219183,9.873097051406774,0.12342429161071777,0,0,1,3
33.0,-0.29360569866257524,-0.29360569866257447,0.8218291117438584,96.0,11.0,0.0,13.9,6.8,0.5550785030299232,8.487018261438928,0.08905673027038574,0.6218129713220124,17.900382600223026,0.07481765747070312,0.9317059863697399,12.24057692292504,0.15148544311523438,1,0,0,4
30.0,-0.2566186985542631,-0.25661869855426256,1.9948870404446069,242.0,19.0,3.4198497162555204,13.9,6.8,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.9758661819883615,19.905098641667426,0.1673654317855835,0,1,0,4
31.0,0.3045311247342819,0.30453112473428295,-0.49185747768227583,115.0,16.0,0.0,13.0,8.0,0.6236193732229494,9.422634145294257,0.13323057889938356,0.4131576919957702,9.890405223288475,0.08688371181488037,0.5168700412070463,3.657216161339156,0.16545021533966064,0,0,1,4
